title,area,rating,n_reviews,reference
MRIYA RESORT & SPA (МРИЯ РЕЗОРТ энд СПА) 5*,"Россия, Крым, Ялта",4.79,589,https://tophotels.ru/hotel/al206891/reviews
Ялта-Интурист 4*,"Россия, Крым, Ялта",3.9,756,https://tophotels.ru/hotel/al19733/reviews
Азовский,"Россия, Крым, Керчь",4.41,399,https://tophotels.ru/hotel/al142744/reviews
Porto Mare 4*,"Россия, Крым, Алушта",4.52,260,https://tophotels.ru/hotel/al19743/reviews
Нева,"Россия, Крым, Алушта, Алушта-центр",4.51,245,https://tophotels.ru/hotel/al35508/reviews
Империя,"Россия, Крым, Евпатория, Евпатория-центр",4.73,216,https://tophotels.ru/hotel/al62766/reviews
Aquamarine Resort & SPA 5*,"Россия, Крым, Севастополь, Севастополь-центр",4.72,218,https://tophotels.ru/hotel/al64527/reviews
Парк-отель Марат,"Россия, Крым, Гаспра",3.57,266,https://tophotels.ru/hotel/al35596/reviews
Таврия,"Россия, Крым, Евпатория, Евпатория-центр",4.34,211,https://tophotels.ru/hotel/al36556/reviews
GOLDEN RESORT (Голден Резорт) 3*,"Россия, Крым, Алушта",4.61,199,https://tophotels.ru/hotel/al19774/reviews
Ялта-Круглый Год 3*,"Россия, Крым, Ялта, Ялта-центр",4.58,175,https://tophotels.ru/hotel/al102106/reviews
АзовЛенд,"Россия, Крым, Керчь",4.5,137,https://tophotels.ru/hotel/al270232/reviews
Федор Шаляпин,"Россия, Крым, Евпатория",4.81,116,https://tophotels.ru/hotel/al251032/reviews
Романова Парк-Отель 3*,"Россия, Крым, Евпатория, Евпатория-центр",4.51,110,https://tophotels.ru/hotel/al305986/reviews
Ай-Петри,"Россия, Крым, Кореиз",4.04,97,https://tophotels.ru/hotel/al19844/reviews
Мисхор,"Россия, Крым, Кореиз",3.14,113,https://tophotels.ru/hotel/al19763/reviews
Центр Спорта Эволюция 3*,"Россия, Крым, Евпатория, Заозерное",4.77,89,https://tophotels.ru/hotel/al307946/reviews
Новый Океан,"Россия, Крым, Черноморское",4.3,110,https://tophotels.ru/hotel/al251249/reviews
Санаторий Кирова,"Россия, Крым, Ялта, Ялта-центр",3.94,129,https://tophotels.ru/hotel/al19754/reviews
Энигма 3*,"Россия, Крым, Симферополь, Николаевка",4.93,70,https://tophotels.ru/hotel/al223820/reviews
Атлантик 3*,"Россия, Крым, Феодосия, Феодосия-центр",4.13,125,https://tophotels.ru/hotel/al36552/reviews
Адмирал 4*,"Россия, Крым, Севастополь, Севастополь-центр",4.89,72,https://tophotels.ru/hotel/al61326/reviews
Санаторий Славутич,"Россия, Крым, Алушта, Алушта-центр",2.72,121,https://tophotels.ru/hotel/al19775/reviews
Riga Village Resort (Рига),"Россия, Крым, Щелкино",4.25,99,https://tophotels.ru/hotel/al210669/reviews
Санаторно-курортный комплекс Family Resort,"Россия, Крым, Евпатория, Евпатория-центр",4.21,84,https://tophotels.ru/hotel/al19719/reviews
Зеленый мыс,"Россия, Крым, Алупка",4.08,86,https://tophotels.ru/hotel/al65593/reviews
Санаторий Форос 4*,"Россия, Крым, Форос",4.92,44,https://tophotels.ru/hotel/al19762/reviews
Релакс Клуб-Отель,"Россия, Крым, Саки",4.51,70,https://tophotels.ru/hotel/al308177/reviews
Морской прибой,"Россия, Крым, Кореиз",4.26,45,https://tophotels.ru/hotel/al84042/reviews
Курорт-отель Демерджи 3*,"Россия, Крым, Алушта",4.2,85,https://tophotels.ru/hotel/al41782/reviews
Ателика Горизонт 2*,"Россия, Крым, Алушта, Профессорский Рабочий уголок",3.91,80,https://tophotels.ru/hotel/al56139/reviews
Туристический Комплекс Прибой 3*,"Россия, Крым, Феодосия, Береговое",4.75,66,https://tophotels.ru/hotel/al67107/reviews
Бристоль 3*,"Россия, Крым, Ялта, Ялта-центр",4.61,63,https://tophotels.ru/hotel/al24802/reviews
Ай-Тодор-Юг,"Россия, Крым, Гаспра",4.26,83,https://tophotels.ru/hotel/al41264/reviews
