title,area,rating,n_reviews,reference
AZIMUT Отель Санкт-Петербург 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.83,200,https://tophotels.ru/hotel/al32924/reviews
Лиготель (Ligotel) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.8,88,https://tophotels.ru/hotel/al45581/reviews
Династия 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.77,93,https://tophotels.ru/hotel/al29669/reviews
Отель Санкт-Петербург (Saint-Petersburg) 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.82,107,https://tophotels.ru/hotel/al35920/reviews
Алфавит 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.47,61,https://tophotels.ru/hotel/al116799/reviews
Октябрьская 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.21,92,https://tophotels.ru/hotel/al22009/reviews
Nevsky Express hotel 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.92,61,https://tophotels.ru/hotel/al19089/reviews
Москва 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.26,78,https://tophotels.ru/hotel/al22015/reviews
Привилегия 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.77,55,https://tophotels.ru/hotel/al307941/reviews
Русь 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.79,79,https://tophotels.ru/hotel/al35013/reviews
Евразия 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.65,51,https://tophotels.ru/hotel/al17022/reviews
Регина 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.64,45,https://tophotels.ru/hotel/al17021/reviews
Solo Sokos Hotel Palace Bridge 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.05,54,https://tophotels.ru/hotel/al39754/reviews
Репино Cronwell Park Отель 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург, Репино",3.61,78,https://tophotels.ru/hotel/al36225/reviews
SH на Московском,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.33,38,https://tophotels.ru/hotel/al104254/reviews
Россия 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.83,61,https://tophotels.ru/hotel/al35014/reviews
К-Визит 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.58,73,https://tophotels.ru/hotel/al18667/reviews
Bronza House,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,26,https://tophotels.ru/hotel/al314593/reviews
Park Inn by Radisson Pribaltiyskaya 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.16,56,https://tophotels.ru/hotel/al22018/reviews
Станция M19,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.79,33,https://tophotels.ru/hotel/al306235/reviews
Ibis St. Petersburg Centre 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.32,34,https://tophotels.ru/hotel/al39761/reviews
Trezzini Palace 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.63,33,https://tophotels.ru/hotel/al123926/reviews
Станция Z12 (на Звенигородской 12) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.06,28,https://tophotels.ru/hotel/al172664/reviews
Гранд Петроградский 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.17,36,https://tophotels.ru/hotel/al123660/reviews
Винтаж 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.48,32,https://tophotels.ru/hotel/al53392/reviews
Solo Sokos Hotel Vasilievsky 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.95,26,https://tophotels.ru/hotel/al45522/reviews
Park Inn Pulkovskaya 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.4,31,https://tophotels.ru/hotel/al17024/reviews
Амстердам 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.59,31,https://tophotels.ru/hotel/al29673/reviews
Vertical (Вертикаль),"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.53,23,https://tophotels.ru/hotel/al276251/reviews
