words,K
комфортабельный,0.04202828528454006
олд,0.04209111059975959
мы очень,0.04237162408673777
положительный,0.042525234490792096
персонал дружелюбный,0.04278579210533367
метро,0.04297759760209828
хотеть сказать,0.04338788013454916
россия,0.04347781989802934
спокойный отель,0.04380431603681274
персонал вкусный,0.043960015099990764
кстати,0.04408285264433524
возникнуть,0.04413562507302908
питание отель,0.04454911461039252
номер чистый,0.044892844501204544
отель уютный,0.04524327555716674
несколько день,0.04527215301777678
недорогой,0.04533796107783783
комфортный,0.04562115613088776
вкусный завтрак,0.04562239559595322
замечательный,0.04564587114987002
удобный,0.04608660723866523
нравиться,0.04633379825113186
благодарить,0.046587678122622996
чистенький,0.046928182839004545
отзывчивый,0.04694661595496004
привилегия,0.04758974563276389
de,0.04790503250083911
разнообразный,0.047907181662054814
понравиться номер,0.04793445502910206
высокий уровень,0.04882776122005064
всякий,0.04903119694495484
hotel,0.049457977386398747
шикарный,0.04951489244173577
вкусно,0.05025336815593447
чисто,0.05103006556825954
довольный,0.05142057110058095
питер,0.05420508959732222
чистота,0.056510165238579727
приятно,0.05782901562516509
очень уютный,0.05801251939478463
прекрасный отель,0.05930092625729177
огромный,0.0624905652750723
вкусный,0.0660253807605091
великолепный,0.06925921006697763
очень понравиться,0.07073700687688696
понравиться,0.07088064031347904
уютный,0.07102502040149185
уровень,0.07167718929220777
спасибо,0.07650570141393256
отличный,0.10169934867209554
