words,K
молодец,0.03337157579941135
растительность,0.03348924880763139
понравиться кроме,0.03363006450794043
несмотря,0.03386024288725723
часы,0.03390570206472062
вкусный,0.033927720678525036
провести,0.03403553978961935
ресторан,0.03423710172850071
порция,0.03440102451470286
ребёнок очень,0.03483663342127757
стандартный,0.03518873524485754
отдельный плата,0.035212353061474314
дендрарий цирк,0.0353065080796735
отель очень,0.035424541437117145
вполне,0.03544198043768555
время,0.03574089174067994
достойно,0.03627790407371533
новый,0.03649423378102514
карточка,0.03651141200965557
брать,0.03683778938905005
отличный номер,0.036871292815791074
столовый,0.037089614505929624
номер балкон,0.037534878092273
кроме,0.037741866560293574
тусовка,0.03823721597289944
довольно,0.03871464054063262
множество,0.0388103357361984
наверное,0.03922562323445092
морской,0.03959553354955031
ремонт,0.03969238907020241
меню,0.04004253507470315
сезон,0.04089840269933382
немного,0.04225756011089741
приехать ещё,0.04307371690923565
народ,0.04499881714629534
неплохой,0.045626358509573736
хотя,0.0461487072109769
отличный питание,0.04623211000679542
считать,0.046654247326815175
отдыхать отель,0.048581714161019376
мало,0.04865961347700463
море,0.049488945181694916
большой территория,0.05001295772976738
нормальный,0.053002128056010955
удивить,0.05779066796658026
часто,0.0587037992713786
питание хороший,0.0643262128874536
уходить,0.06472529952549613
минус,0.07223842294851546
целое,0.08701749347304379
