title,area,rating,n_reviews,reference
Marins Park Hotel Sochi 4*,"Россия, Краснодарский край, Сочи",3.93,458,https://tophotels.ru/hotel/al38931/reviews
Гранд Отель Жемчужина 4*,"Россия, Краснодарский край, Сочи",3.88,306,https://tophotels.ru/hotel/al104740/reviews
Южное Взморье 3*,"Россия, Краснодарский край, Сочи",4.25,167,https://tophotels.ru/hotel/al36527/reviews
Дагомыс,"Россия, Краснодарский край, Сочи",3.75,161,https://tophotels.ru/hotel/al18076/reviews
Золотой колос 4*,"Россия, Краснодарский край, Сочи",4.3,117,https://tophotels.ru/hotel/al38994/reviews
Alean Family Resort & Spa Sputnik 4*,"Россия, Краснодарский край, Сочи",4.1,98,https://tophotels.ru/hotel/al18085/reviews
Сочи-Бриз,"Россия, Краснодарский край, Сочи",4.4,76,https://tophotels.ru/hotel/al35443/reviews
Sea Galaxy Hotel Congress & SPA 4*,"Россия, Краснодарский край, Сочи",4.4,67,https://tophotels.ru/hotel/al136381/reviews
Знание,"Россия, Краснодарский край, Сочи",3.93,81,https://tophotels.ru/hotel/al40386/reviews
Mercure Sochi Centre 4*,"Россия, Краснодарский край, Сочи",4.67,56,https://tophotels.ru/hotel/al125434/reviews
Заполярье 3*,"Россия, Краснодарский край, Сочи",3.92,79,https://tophotels.ru/hotel/al10568/reviews
Burgas 3*,"Россия, Краснодарский край, Сочи",3.83,76,https://tophotels.ru/hotel/al70606/reviews
Спа-отель Mishilen Detox & Wellness (Мишлен Детокс) 4*,"Россия, Краснодарский край, Сочи",4.98,45,https://tophotels.ru/hotel/al57561/reviews
Грейс Наири  3*,"Россия, Краснодарский край, Сочи",4.38,54,https://tophotels.ru/hotel/al24790/reviews
Анатоль 2*,"Россия, Краснодарский край, Сочи, Хоста",4.22,35,https://tophotels.ru/hotel/al308126/reviews
Мыс Видный 4*,"Россия, Краснодарский край, Сочи",4.0,51,https://tophotels.ru/hotel/al10587/reviews
Swissotel Resort Сочи Камелия 5*,"Россия, Краснодарский край, Сочи",4.59,41,https://tophotels.ru/hotel/al74941/reviews
Санаторий Актер 3*,"Россия, Краснодарский край, Сочи",4.48,50,https://tophotels.ru/hotel/al18080/reviews
Гарден Хиллс 3*,"Россия, Краснодарский край, Сочи",3.18,60,https://tophotels.ru/hotel/al94520/reviews
Аквамарин,"Россия, Краснодарский край, Сочи",3.99,33,https://tophotels.ru/hotel/al36297/reviews
Металлург 3*,"Россия, Краснодарский край, Сочи",4.35,33,https://tophotels.ru/hotel/al10580/reviews
Русь,"Россия, Краснодарский край, Сочи",4.32,38,https://tophotels.ru/hotel/al18084/reviews
Lazurnaya Hotel & Spa  4*,"Россия, Краснодарский край, Сочи",4.08,37,https://tophotels.ru/hotel/al38841/reviews
Авангард 4*,"Россия, Краснодарский край, Сочи",4.88,23,https://tophotels.ru/hotel/al36520/reviews
Звёздный 4*,"Россия, Краснодарский край, Сочи",4.54,29,https://tophotels.ru/hotel/al50790/reviews
Hyatt Regency Sochi (Хаятт Ридженси Сочи) 5*,"Россия, Краснодарский край, Сочи",4.64,25,https://tophotels.ru/hotel/al141242/reviews
ФГБУ Объединенный Санаторий Сочи,"Россия, Краснодарский край, Сочи",4.22,25,https://tophotels.ru/hotel/al10603/reviews
Adriano Hotel 4*,"Россия, Краснодарский край, Сочи",4.76,21,https://tophotels.ru/hotel/al212877/reviews
Приморская 1*,"Россия, Краснодарский край, Сочи",3.64,46,https://tophotels.ru/hotel/al19653/reviews
Гостевой дом Мацеста,"Россия, Краснодарский край, Сочи, Хоста",5.0,21,https://tophotels.ru/hotel/al196181/reviews
Электроника,"Россия, Краснодарский край, Сочи",3.99,25,https://tophotels.ru/hotel/al10606/reviews
Парус 4*,"Россия, Краснодарский край, Сочи",4.41,21,https://tophotels.ru/hotel/al52259/reviews
Апарт-отель Бревис 3*,"Россия, Краснодарский край, Сочи",4.12,15,https://tophotels.ru/hotel/al151400/reviews
Orchestra Crystal Sochi Resort (бывш. пансионат Кристалл) 2*,"Россия, Краснодарский край, Сочи, Хоста",3.68,25,https://tophotels.ru/hotel/al35310/reviews
им. Орджоникидзе,"Россия, Краснодарский край, Сочи",3.18,56,https://tophotels.ru/hotel/al10575/reviews
Вилла Анна 4*,"Россия, Краснодарский край, Сочи",4.71,19,https://tophotels.ru/hotel/al47686/reviews
Гостиничный комплекс Сочи-Магнолия 3*,"Россия, Краснодарский край, Сочи",4.19,23,https://tophotels.ru/hotel/al35427/reviews
DENART (Денарт) 4*,"Россия, Краснодарский край, Сочи",4.26,14,https://tophotels.ru/hotel/al153317/reviews
Светлана,"Россия, Краснодарский край, Сочи",3.73,29,https://tophotels.ru/hotel/al10600/reviews
Pullman Sochi Centre 5*,"Россия, Краснодарский край, Сочи",4.68,15,https://tophotels.ru/hotel/al125435/reviews
Wind Rose Hotel & SPA (Отель Роза Ветров) 4*,"Россия, Краснодарский край, Сочи",4.42,15,https://tophotels.ru/hotel/al35534/reviews
Экодом Сочи 3*,"Россия, Краснодарский край, Сочи",4.29,18,https://tophotels.ru/hotel/al91064/reviews
Автомобилист,"Россия, Краснодарский край, Сочи, Кудепста",4.25,16,https://tophotels.ru/hotel/al40638/reviews
ЧЕБОТАРЕВЪ 4*,"Россия, Краснодарский край, Сочи",4.16,20,https://tophotels.ru/hotel/al40083/reviews
Престиж 4*,"Россия, Краснодарский край, Сочи",3.76,27,https://tophotels.ru/hotel/al22188/reviews
Ostrova (Острова) 4*,"Россия, Краснодарский край, Сочи",4.78,11,https://tophotels.ru/hotel/al102462/reviews
Октябрьский 4*,"Россия, Краснодарский край, Сочи",3.81,21,https://tophotels.ru/hotel/al10589/reviews
У Бочарова ручья 3*,"Россия, Краснодарский край, Сочи",3.46,21,https://tophotels.ru/hotel/al27700/reviews
Зеленая роща,"Россия, Краснодарский край, Сочи",3.89,22,https://tophotels.ru/hotel/al10569/reviews
Park Inn by Radisson Sochi City Centre,"Россия, Краснодарский край, Сочи",4.4,12,https://tophotels.ru/hotel/al159052/reviews
Грин Клаб (Green Club),"Россия, Краснодарский край, Сочи",4.25,12,https://tophotels.ru/hotel/al123105/reviews
Sanremo,"Россия, Краснодарский край, Сочи",4.22,12,https://tophotels.ru/hotel/al160653/reviews
Эдем,"Россия, Краснодарский край, Сочи",3.03,21,https://tophotels.ru/hotel/al35392/reviews
Dolphin Resort Hotel 3*,"Россия, Краснодарский край, Сочи",2.35,23,https://tophotels.ru/hotel/al171747/reviews
Вилла Бавария,"Россия, Краснодарский край, Сочи",4.76,15,https://tophotels.ru/hotel/al42209/reviews
Rodina Grand Hotel & Spa 5*,"Россия, Краснодарский край, Сочи",4.69,16,https://tophotels.ru/hotel/al10598/reviews
Прогресс 3*,"Россия, Краснодарский край, Сочи, Хоста",3.17,15,https://tophotels.ru/hotel/al41007/reviews
Радужный 3*,"Россия, Краснодарский край, Сочи",4.37,10,https://tophotels.ru/hotel/al91083/reviews
Черноморье 5*,"Россия, Краснодарский край, Сочи",4.17,12,https://tophotels.ru/hotel/al10605/reviews
Форсаж,"Россия, Краснодарский край, Сочи",4.9,5,https://tophotels.ru/hotel/al45503/reviews
АндриаНова (AndriaNova) 3*,"Россия, Краснодарский край, Сочи",4.83,7,https://tophotels.ru/hotel/al307525/reviews
Баунти 3*,"Россия, Краснодарский край, Сочи",4.47,7,https://tophotels.ru/hotel/al63126/reviews
Салют,"Россия, Краснодарский край, Сочи",4.39,5,https://tophotels.ru/hotel/al71680/reviews
Радуга Санаторий,"Россия, Краснодарский край, Сочи",4.17,11,https://tophotels.ru/hotel/al10591/reviews
Комплекс отдыха Усадьба,"Россия, Краснодарский край, Сочи",4.11,8,https://tophotels.ru/hotel/al42471/reviews
Grand Gallery (закрыт) 3*,"Россия, Краснодарский край, Сочи",3.67,4,https://tophotels.ru/hotel/al316736/reviews
Эв Рошель,"Россия, Краснодарский край, Сочи",3.48,15,https://tophotels.ru/hotel/al157986/reviews
Fidan Spa Hotel 4*,"Россия, Краснодарский край, Сочи",3.42,7,https://tophotels.ru/hotel/al157741/reviews
ПримаВера,"Россия, Краснодарский край, Сочи",3.22,11,https://tophotels.ru/hotel/al35444/reviews
Золотая Пальма,"Россия, Краснодарский край, Сочи, Хоста",4.72,5,https://tophotels.ru/hotel/al70482/reviews
Санаторий им. Дзержинского,"Россия, Краснодарский край, Сочи",4.65,12,https://tophotels.ru/hotel/al10586/reviews
АКС,"Россия, Краснодарский край, Сочи",4.61,5,https://tophotels.ru/hotel/al51773/reviews
Марианна 3*,"Россия, Краснодарский край, Сочи",4.5,4,https://tophotels.ru/hotel/al208496/reviews
Радуга-Престиж 3*,"Россия, Краснодарский край, Сочи",4.33,9,https://tophotels.ru/hotel/al163430/reviews
им. Фрунзе,"Россия, Краснодарский край, Сочи",4.06,11,https://tophotels.ru/hotel/al10578/reviews
Подмосковье 3*,"Россия, Краснодарский край, Сочи",3.88,8,https://tophotels.ru/hotel/al197236/reviews
Светлана,"Россия, Краснодарский край, Сочи",3.67,6,https://tophotels.ru/hotel/al274940/reviews
Golden House Hotel (Золотой Дом) 3*,"Россия, Краснодарский край, Сочи",3.25,8,https://tophotels.ru/hotel/al178746/reviews
Нева Интернейшенел,"Россия, Краснодарский край, Сочи",2.58,18,https://tophotels.ru/hotel/al35429/reviews
