words,K
младший,0.0421724937808585
программа,0.0422209059094468
прекрасный отдых,0.04222533240069157
советовать,0.04237717216841645
рекомендовать,0.04243000424985421
флорентин,0.042513204714003744
хороший мор,0.042663932851942164
уровень,0.04286832127950262
вкусный,0.04304211719403494
очень вкусно,0.04338794652790935
обязательно,0.04366275922524624
кроватка,0.04386507147267942
сестра,0.04390702969774858
ноябрь,0.044233915573740075
молодец,0.04483100999081837
каждый день,0.04505769668207456
спасибо большой,0.045166406509119204
отзывчивый,0.04602522733394124
питание отличный,0.04626256610937956
весь советовать,0.04673409068967121
приветливый персонал,0.046736132276663636
персонал вкусный,0.04679961262937221
семейный,0.04688635243511164
отель понравиться,0.04704733223421505
довольный,0.04711804100969783
чистенько,0.04743092753406589
весь персонал,0.04757767193856934
радушный,0.050448963400424846
пожалеть,0.05138124286705539
встретить,0.05176455702271128
чисто уютный,0.0522245991737171
вместе,0.05242326351626562
автовокзал,0.05256507788389692
очень понравиться,0.052586558985606685
хватить,0.05295937961483012
прекрасно,0.054455322520932124
уютный,0.05621785243086282
вилла,0.056620412648133236
супер,0.05900231331205918
дом,0.06011307891673861
чисто,0.060202113515263916
свежий,0.061100008595403675
гостеприимный,0.06255379309119416
отлично,0.06279391776795169
комфортный,0.06374601097148618
замечательный,0.06513907845598965
продумать,0.06643501981249963
домашний,0.07577438417637182
спасибо весь,0.08029956936885656
спасибо,0.10822995918330078
