title,area,rating,n_reviews,reference
Porto Mare 4*,"Россия, Крым, Алушта",4.52,260,https://tophotels.ru/hotel/al19743/reviews
Нева,"Россия, Крым, Алушта, Алушта-центр",4.51,245,https://tophotels.ru/hotel/al35508/reviews
GOLDEN RESORT (Голден Резорт) 3*,"Россия, Крым, Алушта",4.61,199,https://tophotels.ru/hotel/al19774/reviews
Ялта-Круглый Год 3*,"Россия, Крым, Ялта, Ялта-центр",4.58,175,https://tophotels.ru/hotel/al102106/reviews
Санаторий Кирова,"Россия, Крым, Ялта, Ялта-центр",3.94,129,https://tophotels.ru/hotel/al19754/reviews
Санаторий Славутич,"Россия, Крым, Алушта, Алушта-центр",2.72,121,https://tophotels.ru/hotel/al19775/reviews
Зеленый мыс,"Россия, Крым, Алупка",4.08,86,https://tophotels.ru/hotel/al65593/reviews
Курорт-отель Демерджи 3*,"Россия, Крым, Алушта",4.2,85,https://tophotels.ru/hotel/al41782/reviews
Ателика Горизонт 2*,"Россия, Крым, Алушта, Профессорский Рабочий уголок",3.91,80,https://tophotels.ru/hotel/al56139/reviews
Бристоль 3*,"Россия, Крым, Ялта, Ялта-центр",4.61,63,https://tophotels.ru/hotel/al24802/reviews
Пальмира Палас Ялта 4*,"Россия, Крым, Ялта",4.65,71,https://tophotels.ru/hotel/al19828/reviews
СПА-отель Ливадийский,"Россия, Крым, Ялта, Ливадия",4.08,77,https://tophotels.ru/hotel/al84868/reviews
More Spa & Resort 4*,"Россия, Крым, Алушта",4.52,76,https://tophotels.ru/hotel/al19748/reviews
Ripario Hotel Group,"Россия, Крым, Ялта, Отрадное",3.83,81,https://tophotels.ru/hotel/al19739/reviews
ДЮЛЬБЕР Санаторный комплекс 2*,"Россия, Крым, Ялта",4.12,35,https://tophotels.ru/hotel/al57034/reviews
Поляна сказок,"Россия, Крым, Ялта",4.13,45,https://tophotels.ru/hotel/al19755/reviews
Лазурная Мелодия,"Россия, Крым, Алушта",4.74,39,https://tophotels.ru/hotel/al103408/reviews
Riviera Sunrise Resort & SPA ALUSHTA 4*,"Россия, Крым, Алушта, Алушта-центр",4.59,41,https://tophotels.ru/hotel/al35494/reviews
Эко-отель Левант 3*,"Россия, Крым, Ялта",4.49,43,https://tophotels.ru/hotel/al19752/reviews
Ламбат,"Россия, Крым, Алушта, Утес",4.76,38,https://tophotels.ru/hotel/al118900/reviews
Маджестик,"Россия, Крым, Алушта",3.93,59,https://tophotels.ru/hotel/al62579/reviews
Резиденция Крымский Бриз 5*,"Россия, Крым, Ялта, Парковое",4.73,33,https://tophotels.ru/hotel/al87468/reviews
Вилла Арго 3*,"Россия, Крым, Алушта, Малореченское",4.65,40,https://tophotels.ru/hotel/al40724/reviews
Цитрус,"Россия, Крым, Алушта",3.96,37,https://tophotels.ru/hotel/al311063/reviews
Альпийская долина 3*,"Россия, Крым, Алушта, Малореченское",4.68,34,https://tophotels.ru/hotel/al133703/reviews
Ай-Даниль,"Россия, Крым, Ялта, Даниловка поселок",4.0,45,https://tophotels.ru/hotel/al46055/reviews
Эко-Village,"Россия, Крым, Алушта",3.73,41,https://tophotels.ru/hotel/al212048/reviews
Морской,"Россия, Крым, Алушта, Семидворье",4.54,45,https://tophotels.ru/hotel/al34207/reviews
Санта Барбара (Santa Barbara) 3*,"Россия, Крым, Алушта",4.62,25,https://tophotels.ru/hotel/al61233/reviews
Камелот 3*,"Россия, Крым, Алушта, Малореченское",4.5,31,https://tophotels.ru/hotel/al84057/reviews
Florentina,"Россия, Крым, Ялта, Ялта-центр",4.25,24,https://tophotels.ru/hotel/al308142/reviews
Эллада 3*,"Россия, Крым, Алушта, Семидворье",3.99,47,https://tophotels.ru/hotel/al38085/reviews
Сказка,"Россия, Крым, Алушта, Профессорский Рабочий уголок",4.31,34,https://tophotels.ru/hotel/al35500/reviews
Летучая Мышь 3*,"Россия, Крым, Алушта, Алушта-центр",4.36,26,https://tophotels.ru/hotel/al226925/reviews
Голубая волна,"Россия, Крым, Алушта",4.24,26,https://tophotels.ru/hotel/al19776/reviews
Горный,"Россия, Крым, Ялта, Ливадия",3.9,27,https://tophotels.ru/hotel/al49697/reviews
Вилла Валентина,"Россия, Крым, Алушта",4.75,23,https://tophotels.ru/hotel/al212849/reviews
Алые Паруса,"Россия, Крым, Алушта",4.18,28,https://tophotels.ru/hotel/al68444/reviews
Солнечный бриз,"Россия, Крым, Алушта, Солнечногорское",3.88,23,https://tophotels.ru/hotel/al307387/reviews
Курортный отель Империал 2011 (Imperial 2011),"Россия, Крым, Ялта, Ялта-центр",4.38,23,https://tophotels.ru/hotel/al90056/reviews
Вилла Аква Вита,"Россия, Крым, Алупка",3.33,17,https://tophotels.ru/hotel/al303781/reviews
Санаторий Утес,"Россия, Крым, Алушта, Утес",3.96,31,https://tophotels.ru/hotel/al19742/reviews
Капсульный хостел Лайм,"Россия, Крым, Ялта, Ялта-центр",5.0,15,https://tophotels.ru/hotel/al313649/reviews
Вилла Отрадное,"Россия, Крым, Ялта, Отрадное",4.92,14,https://tophotels.ru/hotel/al311295/reviews
Коралл,"Россия, Крым, Ялта, Ялта-центр",4.76,20,https://tophotels.ru/hotel/al45955/reviews
Муссон,"Россия, Крым, Ялта",4.26,22,https://tophotels.ru/hotel/al52779/reviews
Гринцовский Пансионат,"Россия, Крым, Ялта, Ливадия",4.25,23,https://tophotels.ru/hotel/al158592/reviews
Усадьба Приморский Парк,"Россия, Крым, Алушта",4.75,14,https://tophotels.ru/hotel/al310540/reviews
Чайная горка,"Россия, Крым, Ялта, Ялта-центр",4.08,19,https://tophotels.ru/hotel/al45460/reviews
Barton Park Hotel,"Россия, Крым, Алушта",4.69,17,https://tophotels.ru/hotel/al103642/reviews
Парк Отель Актер 2*,"Россия, Крым, Ялта",4.32,22,https://tophotels.ru/hotel/al52801/reviews
Respect Hall Resort & SPA 3*,"Россия, Крым, Ялта",4.18,24,https://tophotels.ru/hotel/al41417/reviews
Таврида,"Россия, Крым, Алушта",3.4,26,https://tophotels.ru/hotel/al19747/reviews
Четыре Сезона,"Россия, Крым, Алупка",4.89,14,https://tophotels.ru/hotel/al203290/reviews
Миндальная роща,"Россия, Крым, Алушта, Профессорский Рабочий уголок",4.24,19,https://tophotels.ru/hotel/al56492/reviews
Алушта санаторий,"Россия, Крым, Алушта, Профессорский Рабочий уголок",3.42,31,https://tophotels.ru/hotel/al19778/reviews
Агора 4*,"Россия, Крым, Алушта, Алушта-центр",5.0,13,https://tophotels.ru/hotel/al90735/reviews
Апартаменты у Приморского Парка,"Россия, Крым, Ялта, Ялта-центр",4.92,7,https://tophotels.ru/hotel/al318553/reviews
Mare-Nero 3*,"Россия, Крым, Алупка",4.86,14,https://tophotels.ru/hotel/al287807/reviews
Релакс Центр ИРЕЙ,"Россия, Крым, Алушта, Семидворье",4.53,17,https://tophotels.ru/hotel/al85777/reviews
Кичкинэ 2*,"Россия, Крым, Ялта, Ливадия",4.45,21,https://tophotels.ru/hotel/al19845/reviews
Нижняя Ореанда,"Россия, Крым, Ялта, Ореанда",4.21,18,https://tophotels.ru/hotel/al49551/reviews
Аквапарк 3*,"Россия, Крым, Алушта",4.82,17,https://tophotels.ru/hotel/al19780/reviews
Атлантида,"Россия, Крым, Ялта",4.7,15,https://tophotels.ru/hotel/al268465/reviews
Happy Hotel,"Россия, Крым, Ялта",3.78,22,https://tophotels.ru/hotel/al76393/reviews
Отель Вилла Олива-Арт 3*,"Россия, Крым, Алушта, Утес",4.73,8,https://tophotels.ru/hotel/al313805/reviews
Крымская Ницца 2*,"Россия, Крым, Ялта, Ялта-центр",4.59,12,https://tophotels.ru/hotel/al137322/reviews
Ореанда 5*,"Россия, Крым, Ялта",4.37,20,https://tophotels.ru/hotel/al19734/reviews
Вилла Камилла,"Россия, Крым, Алушта",4.33,10,https://tophotels.ru/hotel/al261028/reviews
Санаторий Россия,"Россия, Крым, Ялта, Ялта-центр",4.06,18,https://tophotels.ru/hotel/al41022/reviews
Арт-отель Азор,"Россия, Крым, Ялта, Ливадия",3.98,14,https://tophotels.ru/hotel/al305454/reviews
Крымские зори,"Россия, Крым, Алушта",3.57,25,https://tophotels.ru/hotel/al19746/reviews
Курпаты,"Россия, Крым, Ялта, Курпаты",2.85,21,https://tophotels.ru/hotel/al35454/reviews
Villa Elena Hotel & Residences 5*,"Россия, Крым, Ялта, Ялта-центр",5.0,9,https://tophotels.ru/hotel/al41620/reviews
Москва,"Россия, Крым, Алушта",4.48,8,https://tophotels.ru/hotel/al35504/reviews
Седьмое небо,"Россия, Крым, Алушта, Утес",3.71,11,https://tophotels.ru/hotel/al151403/reviews
Запорожье,"Россия, Крым, Ялта, Ялта-центр",3.56,19,https://tophotels.ru/hotel/al40907/reviews
SPA-отель Приморский Парк 4*,"Россия, Крым, Ялта",4.95,9,https://tophotels.ru/hotel/al62837/reviews
Бон Мезон,"Россия, Крым, Алушта",4.48,17,https://tophotels.ru/hotel/al35501/reviews
Спарта,"Россия, Крым, Ялта",4.08,9,https://tophotels.ru/hotel/al65335/reviews
Южный берег 2*,"Россия, Крым, Алушта",3.89,11,https://tophotels.ru/hotel/al35497/reviews
Орлиное гнездо,"Россия, Крым, Ялта, Ялта-центр",3.19,10,https://tophotels.ru/hotel/al40340/reviews
Морской уголок,"Россия, Крым, Алушта, Профессорский Рабочий уголок",3.08,30,https://tophotels.ru/hotel/al19769/reviews
РК Багатель,"Россия, Крым, Ялта",4.97,7,https://tophotels.ru/hotel/al166467/reviews
Курортный клуб Дачи (Daчi),"Россия, Крым, Алушта",4.44,9,https://tophotels.ru/hotel/al230550/reviews
Вилла Арнис,"Россия, Крым, Алушта",4.38,9,https://tophotels.ru/hotel/al311665/reviews
Вилла Онейро,"Россия, Крым, Алупка",4.92,8,https://tophotels.ru/hotel/al156783/reviews
Курортный комплекс ИваМария,"Россия, Крым, Алушта",4.25,7,https://tophotels.ru/hotel/al244493/reviews
Легенда,"Россия, Крым, Алушта",4.23,12,https://tophotels.ru/hotel/al150401/reviews
Гамачок у Моря,"Россия, Крым, Алушта",4.0,8,https://tophotels.ru/hotel/al311211/reviews
Alushta Royal Apartments 3*,"Россия, Крым, Алушта",3.97,8,https://tophotels.ru/hotel/al69463/reviews
Санаторий Ливадия,"Россия, Крым, Ялта, Ливадия",3.67,9,https://tophotels.ru/hotel/al158801/reviews
